Название объявления;Текст объявления;Марка авто;Модель Авто;Год;Кузов;Цена;Фотография;Количество;Left-Right;Front-Back;Up-Down;Номер;Двигатель
Зеркало заднего вида;Зелёное, в хорошем состоянии;BMW;1 серия;2008;WBA**************;5000;https://i.postimg.cc/xTyXLBBg/7982929022.jpg;1;;F;;awd;Rb25
Зеркало салонное;Красное, в хорошем состоянии;BMW;1 серия;2010;WBA**************;4000;https://realxenon.ru/modules/shop/images/goods/redpower_m35sw_enlr6_enl_11.jpg;2;;F;;awd;QW12
Зеркало салонное;Красное, в хорошем состоянии;BMWg;1 серия;2010;WBA**************;4000;https://realxenon.ru/modules/shop/images/goods/redpower_m35sw_enlr6_enl_11.jpg;3;;F;;;EA21
Зеркало салонное;Красное, в хорошем состоянии;BMW;1серия;2010;WBA**************;4000;https://realxenon.ru/modules/shop/images/goods/redpower_m35sw_enlr6_enl_11.jpg;4;;;Up;awd;
Зеркало салонное;Красное, в хорошем состоянии;BMW;1 серия;2010;WBA**************;awd000;https://realxenon.ru/modules/shop/images/goods/redpower_m35sw_enlr6_enl_11.jpg;5;L;;;2d2;YR12
Нормальное зеркало салонное;Красное, в хорошем состоянии;BMW;1 серия;2010;WBA**************;4000;https://realxenon.ru/modules/shop/images/goods/redpower_m35sw_enlr6_enl_11.jpg;6;L;;;;
Нормальное зеркало салонное;Красное, в хорошем состоянии;BMW;1 серия;2010;WBA**************;4000;https://realxenon.ru/modules/shop/images/goods/redpower_m35sw_enlr6_enl_11.jpg;7;L;;;234234;
Спойлер;В хорошем состоянии;Audi;A3;2010;WBA**************;6000;https://images.ru.prom.st/548659565_w640_h640_548659565.jpg;8;L;;;fesf;
Бампер;Красное, в хорошем состоянии;Audi;A3;2011;WBA**************;7000;https://71.img.avito.st/640x480/5980344771.jpg;9;L;;;rdg;
Крыло левое;Красное, в отличном состоянии;Audi;A3;2012;WBA**************;8000;https://fdparts.ru/parts_img/4cebe315d0fb2ca4d296640bf11f9a2a.jpg;10;L;;;hft;
Крыло правое;Красное, в нормальном состоянии;Audi;A4;2013;WBA**************;9000;https://fdparts.ru/parts_img/44bbfa4596d11c303a7bca9b24f91d85.jpg;11;L;;;wad;
Стекло лобовое;Целое без трещин;Audi;A4;2014;WBA**************;10000;https://71.img.avito.st/640x480/7919410271.jpg;12;R;;;aw;
Колеса 4шт;Оригинальные;Audi;A4;2015;WBA**************;11000;https://71.img.avito.st/640x480/5364807171.jpg;13;R;;;;
Двигатель;Контрактный;Audi;A5;2016;WBA**************;12000;https://blamper.ru/steady/54/08/4e/original/54084ed6bc33da4b2a8b4588/568x390_dvigateli-audi-100-c4-dostoinstva-i-nedostatki.jpg;14;R;;Up;awd;
АКПП;Контрактная с разборки;Audi;A5;2017;WBA**************;13000;https://09.img.avito.st/640x480/2237077309.jpg;15;R;;Up;;
Фара правая;В идеальном состоянии;Audi;A5;2018;WBA**************;14000;https://i.ytimg.com/vi/t67qfxFwASs/hqdefault.jpg;16;;;Up;3232;
